a2cloud_score,Cost(per hour USD),Instance,cluster
3.879200118,0.1,m4.large,3
3.874498506,0.0928,t2.large,3
10.0,0.0188,t3a.small,2
3.5995921269999998,0.1,m4.large,3
5.071406594,0.0832,B2ms,3
3.5820359589999997,0.126,E2s,3
10.0,0.0188,t3a.small,2
10.0,0.0188,t3a.small,2
2.622177764,0.1,c4.large,1
3.6191266669999997,0.1,m4.large,3
